benchmark_id,condition,rating,model,original_review,model_output,coherence_1_to_5,factual_grounding_1_to_5,adverse_event_focus_1_to_5,overall_quality_1_to_5,notes
23,Depression,1,T5,"This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly. (Look that one up, and enjoy)","this medicine has made me impotent, fat, lethargic, and I am suffering from angioedema.",4,5,5,4,Concise and grounded; captures the main adverse effects but omits the lack of treatment benefit.
23,Depression,1,GPT-2,"This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly. (Look that one up, and enjoy)","This is a very good medicine, but I am not sure if it will work for me or not.

I have been using this medicine for over a year now, and it has been very effective. I am very happy with the results. I would recommend this medicine to anyone who is suffering from anxiety",4,1,1,1,Reverses the review's meaning by describing the medicine as effective and recommendable.
24,Anxiety,10,BART,"I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26. To those worried about becoming addicted or physically dependent on this medicine, I wouldn't worry about it too much as I been on it for 3 yrs now and I haven't had to had to up my dose at all and have been on steady 4mg daily. There were a few times where my doctor went on vacation & it was my fault for not getting my script early. My Anxiety was bad for 3-4 days BUT I felt NO WITHDRAWALS or SICKNESS at all from lack of the clonazepam.","I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26",5,5,2,3,"Accurate and coherent, but focuses on indication and benefit rather than adverse-event information."
24,Anxiety,10,T5,"I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26. To those worried about becoming addicted or physically dependent on this medicine, I wouldn't worry about it too much as I been on it for 3 yrs now and I haven't had to had to up my dose at all and have been on steady 4mg daily. There were a few times where my doctor went on vacation & it was my fault for not getting my script early. My Anxiety was bad for 3-4 days BUT I felt NO WITHDRAWALS or SICKNESS at all from lack of the clonazepam.","I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1 mg at bedtime to help Insomnia.",4,5,1,2,"Grounded but mostly repeats dosage and indication, with almost no adverse-event focus."
24,Anxiety,10,GPT-2,"I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26. To those worried about becoming addicted or physically dependent on this medicine, I wouldn't worry about it too much as I been on it for 3 yrs now and I haven't had to had to up my dose at all and have been on steady 4mg daily. There were a few times where my doctor went on vacation & it was my fault for not getting my script early. My Anxiety was bad for 3-4 days BUT I felt NO WITHDRAWALS or SICKNESS at all from lack of the clonazepam.",I was on a 2-week trial of Clonezapam for the first time in my life. I had been taking it for about 2 weeks and I had no symptoms at all. I went to the doctor and told him that I was going to take it for 2 weeks. He told me that I,3,1,1,1,Invents a two-week trial and unsupported clinical details.
31,Anxiety,1,BART,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. I took it for hyper thyroid. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. PLEASE Google Professor Ashton to read the side effects. Visit Benzo Buddies. You will learn about the horrors these meds cause as well as success stories of those who survived this! There has been a bill introduced in Massachusetts to get doctors to warn their patients!! Warn everyone you know! Don't be fooled! My world has been turned upside down and I don't want it to happen to you!!,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. Please Google Professor Ashton to read the side effects. Visit Benzo,3,5,3,3,"Grounded but emotionally charged, vague about specific symptoms, and cut off at the end."
31,Anxiety,1,T5,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. I took it for hyper thyroid. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. PLEASE Google Professor Ashton to read the side effects. Visit Benzo Buddies. You will learn about the horrors these meds cause as well as success stories of those who survived this! There has been a bill introduced in Massachusetts to get doctors to warn their patients!! Warn everyone you know! Don't be fooled! My world has been turned upside down and I don't want it to happen to you!!,benzodiazepine has ruined the last 14 months of my life. there has been a bill introduced in Massachusetts to get doctors to warn their patients.,4,5,3,3,"Accurate and concise, but reports general harm rather than specific adverse effects."
31,Anxiety,1,GPT-2,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. I took it for hyper thyroid. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. PLEASE Google Professor Ashton to read the side effects. Visit Benzo Buddies. You will learn about the horrors these meds cause as well as success stories of those who survived this! There has been a bill introduced in Massachusetts to get doctors to warn their patients!! Warn everyone you know! Don't be fooled! My world has been turned upside down and I don't want it to happen to you!!,"I have been taking this medication for over a year now. I have never experienced anything like this before. I am very happy with the results. I will continue to take this medication as long as I can. I do not know how long it will last, but I am sure it will be worth it.",4,1,1,1,Reverses the negative experience into a positive one and invents continued treatment satisfaction.
35,Depression,8,BART,"I had no problem with Nortriptyline. I had to take it in conjunction with Lithium for depression. My problem was when I QUIT taking it. I'm dizzy, sick to my stomach, I have ringing in my ears, I'm irritated all the time and I can't sleep. Just be prepared in case you stop taking it too.","I had no problem with Nortriptyline. My problem was when I QUIT taking it. I'm dizzy, sick to my stomach, I have ringing in my ears, I'm irritated all the time and I can't sleep. Just be prepared in case you stop taking it too.",5,5,5,5,"Clear and grounded; captures the discontinuation-related dizziness, nausea, tinnitus, irritability, and insomnia."
35,Depression,8,T5,"I had no problem with Nortriptyline. I had to take it in conjunction with Lithium for depression. My problem was when I QUIT taking it. I'm dizzy, sick to my stomach, I have ringing in my ears, I'm irritated all the time and I can't sleep. Just be prepared in case you stop taking it too.","nortriptyline took it in conjunction with Lithium for depression. I'm dizzy, sick to my stomach, I have ringing in my ears.",2,5,4,3,"Grounded and symptom-focused, but grammatically fragmented and omits some adverse effects and the discontinuation context."
35,Depression,8,GPT-2,"I had no problem with Nortriptyline. I had to take it in conjunction with Lithium for depression. My problem was when I QUIT taking it. I'm dizzy, sick to my stomach, I have ringing in my ears, I'm irritated all the time and I can't sleep. Just be prepared in case you stop taking it too.",I was diagnosed with bipolar disorder in the early 1990s. I was diagnosed as having bipolar disorder at the time of my diagnosis. I have been diagnosed with depression since I was 12 years old. I am currently on a medication to treat my bipolar disorder. I do not know if I will ever be able to,4,1,1,1,"Hallucinates bipolar disorder, age at diagnosis, and other unsupported medical history."
46,Depression,10,BART,"My dr gave me two sample packs and told me to take all the 10mg tablets and once I was done I could go up to 20mg if I needed it, but I continue to get a prescription for 20mg and cut them in half so it lasts me twice as long. She told me I would have upset stomach the first night and that was literally the only bad side effect I had! I take it after dinner/before bed. Right away it made me feel more awake, able to handle things my stressors better, and gave me a general sense of well being. I can still get aggravated so I don't feel like a zombie, and I'm still able to have the big O. I am 36 and have tried 10 or so different antidepressants over the years since I was in my late teens and nothing has ever worked as well as this.",My dr gave me two sample packs and told me to take all the 10mg tablets and once I was done I could go up to 20mg if I needed it. She told me I would have upset stomach the first night and that was literally the only bad side effect I had! I take it after,3,5,4,3,"Grounded and captures the upset stomach, but the sentence is cut off and includes unnecessary dosing details."
46,Depression,10,T5,"My dr gave me two sample packs and told me to take all the 10mg tablets and once I was done I could go up to 20mg if I needed it, but I continue to get a prescription for 20mg and cut them in half so it lasts me twice as long. She told me I would have upset stomach the first night and that was literally the only bad side effect I had! I take it after dinner/before bed. Right away it made me feel more awake, able to handle things my stressors better, and gave me a general sense of well being. I can still get aggravated so I don't feel like a zombie, and I'm still able to have the big O. I am 36 and have tried 10 or so different antidepressants over the years since I was in my late teens and nothing has ever worked as well as this.","dr gave me two sample packs and told me to take all the 10mg tablets. she told me I would have upset stomach the first night. right away it made me feel more awake, able to handle things my stressors better, and gave me a general sense of well",3,5,4,3,"Grounded and mentions the upset stomach and benefits, but wording is awkward and the output is truncated."
46,Depression,10,GPT-2,"My dr gave me two sample packs and told me to take all the 10mg tablets and once I was done I could go up to 20mg if I needed it, but I continue to get a prescription for 20mg and cut them in half so it lasts me twice as long. She told me I would have upset stomach the first night and that was literally the only bad side effect I had! I take it after dinner/before bed. Right away it made me feel more awake, able to handle things my stressors better, and gave me a general sense of well being. I can still get aggravated so I don't feel like a zombie, and I'm still able to have the big O. I am 36 and have tried 10 or so different antidepressants over the years since I was in my late teens and nothing has ever worked as well as this.","I have been taking this medication for over a year now and I have never had an adverse event. I have had a few side effects, but none of them have affected me at all. The only thing that has changed is that I have been able to sleep better and I am able to eat better. I",3,1,1,1,"Invents treatment duration, sleep and eating benefits, and misstates the adverse-event history."
49,Anxiety,8,BART,"There are a lot of negative reviews about this medicine and it's side effects, and that makes a lot of people beginning the medicine, including myself, freak out. The people having a positive experience with Lexapro are out living life. Don't be discouraged. For me, Lexapro started working in the second week, but would work on and off for the first month. I started at 5mg and slowly went up to 15. I'm on week 5 and it hasn't done much for my anxiety (yet) but it has helped my moods tremendously. For the first month I had muscle aches and headaches, and I was really tired and unmotivated. That went away in week 4 and I'm feeling better than I have felt in two years.",There are a lot of negative reviews about this medicine and it's side effects. Don't be discouraged. The people having a positive experience with Lexapro are out living life.,5,5,1,2,"Coherent and grounded, but omits the actual side effects, their resolution, and most of the treatment outcome."
49,Anxiety,8,T5,"There are a lot of negative reviews about this medicine and it's side effects, and that makes a lot of people beginning the medicine, including myself, freak out. The people having a positive experience with Lexapro are out living life. Don't be discouraged. For me, Lexapro started working in the second week, but would work on and off for the first month. I started at 5mg and slowly went up to 15. I'm on week 5 and it hasn't done much for my anxiety (yet) but it has helped my moods tremendously. For the first month I had muscle aches and headaches, and I was really tired and unmotivated. That went away in week 4 and I'm feeling better than I have felt in two years.",the people having a positive experience with Lexapro are out living life. I started at 5mg and slowly went up to 15. for the first month I had muscle aches and headaches.,4,5,4,4,"Grounded and concise; captures muscle aches and headaches but omits fatigue, low motivation, and symptom resolution."
49,Anxiety,8,GPT-2,"There are a lot of negative reviews about this medicine and it's side effects, and that makes a lot of people beginning the medicine, including myself, freak out. The people having a positive experience with Lexapro are out living life. Don't be discouraged. For me, Lexapro started working in the second week, but would work on and off for the first month. I started at 5mg and slowly went up to 15. I'm on week 5 and it hasn't done much for my anxiety (yet) but it has helped my moods tremendously. For the first month I had muscle aches and headaches, and I was really tired and unmotivated. That went away in week 4 and I'm feeling better than I have felt in two years.","Lexapro has been approved by the FDA for use in the treatment of anxiety and depression. It has been shown to be safe and effective in treating a wide range of conditions, including anxiety, depression, bipolar disorder, anxiety disorders, and post-traumatic stress disorder (PTSD).

It is",4,1,1,1,Invents FDA approval claims and unsupported indications instead of summarizing the patient's experience.
