benchmark_id,condition,rating,review_clean,bart_summary,bart_inference_seconds,bart_compression_ratio,t5_summary,t5_inference_seconds,t5_compression_ratio,gpt2_output,gpt2_inference_seconds,gpt2_compression_ratio
11,Depression,5,I've been taking Pristiq for 3 months. It was working fine. I had to go to 100mg but now it's getting worse.,I've been taking Pristiq for 3 months. It was working fine. I had to go to 100mg but now it's getting worse.,0.6148104630001399,1.0,i've been taking Pristiq for 3 months. it was working fine.,0.34448405499961154,0.5,"Pristiq is a painkiller that can be used to treat pain. It has been shown to be effective in relieving pain in patients with chronic pain. However, it is not as effective as other pain relievers, such as ibuprofen or ibramadol, and is not recommended for",0.7649230620004346,2.090909090909091
12,Depression,3,I've been on Lexapro for about a month and a half now (10/mg). I have not had any differences with my depression or anxiety. In fact my anxiety is still bad. It also makes me crave food that I'm not a huge fan of. Very confusing.,I've been on Lexapro for about a month and a half now (10/mg) I have not had any differences with my depression or anxiety. In fact my anxiety is still bad. It also makes me crave food that I'm not a huge fan of.,0.8894900230002349,0.9565217391304348,I've been on Lexapro for about a month and a half. my anxiety is still bad.,0.48195074100021884,0.34782608695652173,"I was diagnosed with bipolar disorder in the early 1990s. I had been diagnosed with depression in the late 1990s, but I had never had a manic episode before. I was diagnosed as having bipolar disorder at the time of my diagnosis, and I had not been diagnosed as bipolar at any point in my life",0.7677329319999444,1.2173913043478262
13,Anxiety,1,"Worst med I ever put in my body. Used to take Paxil 20mg on and off for 9 years and dumbly thought I could try another pill only in case I tried to have kids. And wow worse side effects, insomnia, migraines. I was a hypocondriac and this med caused me to have depression and suicidal thoughts! Did NOT suite me at all. But everyone is different.",Worst med I ever put in my body. Used to take Paxil 20mg on and off for 9 years. I was a hypocondriac and this med caused me to have depression and suicidal thoughts! Did NOT suite me at all.,0.805418895999992,0.5970149253731343,med caused me to have depression and suicidal thoughts.,0.3825517759996728,0.13432835820895522,"I was diagnosed with bipolar disorder in the early 1990s. I had been taking Paxil for over a decade and had never been diagnosed with any type of mental illness. I did not have a history of bipolar disorder, and I had never had a psychotic episode. I also had no history of substance abuse.",0.7825428640003338,0.8208955223880597
14,Depression,1,"I was prescribed this drug for some stress and anxiety experienced due to some work life balance issues. I took it for 5 days only. By day 3 i could not stay awake or focus and let alone feel OK to drive. I felt sick and had excessive sweats. Constipated and headaches, i stopped on day 5. Day 6 and 7 symptoms continued with lots of nightmare and night sweats and shakes. never again.","By day 3 i could not stay awake or focus and let alone feel OK to drive. Constipated and headaches, i stopped on day 5. Day 6 and 7 symptoms continued with lots of nightmare and night sweats and shakes. never again.",0.7309930999999779,0.5675675675675675,i was prescribed this drug for some stress and anxiety experienced due to some work life balance issues. by day 3 i could not stay awake or focus and let alone feel OK to drive.,0.5747957660000793,0.47297297297297297,I took this medication for some anxiety and anxiety related stress. I stopped taking it on day 3. I was able to stay awake and focus. I could not get out of bed and felt fine. I went back to work on day 7. I did not feel well and felt like I was going to die,1.0459428650001428,0.7702702702702703
15,Depression,8,"I have been taking Wellbutrin SR 150mg for five years. Have been doing really well, but here lately I have been really tired, low sex drive, wanting to eat when I am not hungry. Maybe I need an increase.","I have been taking Wellbutrin SR 150mg for five years. Have been doing really well, but here lately I have been really tired, low sex drive, wanting to eat when I am not hungry. Maybe I need an increase.",0.7394808720000583,1.0,I have been taking Wellbutrin SR 150mg for five years.,0.5267163549997349,0.2564102564102564,"Wellbutrin is an anti-inflammatory drug. It has been shown to be effective in reducing the risk of cardiovascular disease. It does not cause any side effects. However, it has been found to have side effects in some patients. It is not known if it is safe to use in this way.",1.066558212000018,1.3076923076923077
16,Depression,10,"After being diagnosed with severe, chronic and acute depression, anxiety and seasonal affective disorder in February 2001, my therapist referred me to a psychiatrist for medicine management. Was given starter pack September 2011. I've been on 40mg for 1 and 1/2 years, during my weekly therapy sessions, my therapist says I give 90% eye contact, whereas with previous medicines I gave eye contact infrequently. I also take Effexor 225mg, Zoloft 200mg and 9mg Ativan [2mg A.M.; 4mg 12:00pm; 3mg evenings], Ambien 10mg.","After being diagnosed with severe, chronic and acute depression, anxiety and seasonal affective disorder in February 2001, my therapist referred me to a psychiatrist for medicine management. Was given starter pack September 2011. I've been on 40mg for 1 and 1/2 years. I also take Effexor 225mg",0.9497922130003644,0.573170731707317,"my therapist referred me to a psychiatrist for medicine management. was diagnosed with severe, chronic and acute depression, anxiety and seasonal affective disorder in February 2001.",0.5203187919996708,0.3170731707317073,"I was diagnosed with a severe, acute, and chronic depressive disorder. I have been on a daily, weekly, and monthly basis for over 2 years. I am currently on a medication that has been approved by the US Food and Drug Administration (FDA) for use in the treatment of depression and anxiety.",0.9832506150000881,0.6341463414634146
17,Anxiety,10,"Klonopin is a wonderful drug for anxiety and panic attacks. However, once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again. But if you really need it, this in my opinion works wonderful for anxiety and panic attacks.",Klonopin is a wonderful drug for anxiety and panic attacks. Once you start it is very hard to come off of. I stopped for 2 yrs and it took me 8 months to feel normal again.,0.6616746419999799,0.6666666666666666,Klonopin is a great drug for anxiety and panic attacks. it took me 8 months to feel normal again.,0.41956000499976653,0.35185185185185186,"This is a very good drug for treating anxiety. It is very effective in treating panic attacks, but it is not as effective as other drugs. It does not cause any side effects. It can be used in combination with other drugs to treat panic attacks or to treat anxiety disorders. The side effects of this drug",0.8638413030002994,1.0555555555555556
18,Anxiety,9,Before starting buspirone I read some awful reviews on it which made me not want to take it. I am now glad that I did start taking it as I've had zero side effects and it is slowly making me feel a little more human.,Before starting buspirone I read some awful reviews on it which made me not want to take it. I am now glad that I did start taking it as I've had zero side effects and it is slowly making me feel a little more human.,0.7529751209999631,1.0,buspirone has zero side effects and makes me feel a little more human.,0.2838069290000931,0.28888888888888886,"I have been taking buprenorphine for about a year now. I have had no side effects at all. I feel like I am a normal person. I don't have any side effects from it, but I do have some side effects when I take it, such as nausea, dizziness,",0.8222539999997025,1.0888888888888888
19,Anxiety,10,"Xanax (Alprazolam) has been a miracle for me. I suffer from depression, severe anxiety from GAD, Panic Disorder, OCD, and PTSD. Xanax helps prevent panic attacks and stop them once they start. Be careful about taking it everyday due to tolerance being built up to the medicine (needing more and more to get the same effect) and because of addiction issues. I don't take regular Xanax everyday. I try to stick with the extended-release version, if possible, to avoid addiction to regular Xanax. Regular Xanax, however, works hard and fast and is great for those who really need it. I give it a 10/10!",Xanax (Alprazolam) has been a miracle for me. Xanax helps prevent panic attacks and stop them once they start. I give it a 10/10!,0.6279551279999396,0.23076923076923078,Xanax helps prevent panic attacks and stop them once they start. be careful about taking it everyday due to tolerance being built up to the medicine.,0.6215697190000355,0.25,"I have been taking Xanax for over a year now. I have been using it for a year and a half now, and I have never had any side effects. I am very happy with the quality of the Xanax I have received. I would recommend it to anyone who is suffering from anxiety, depression",0.8421394819997658,0.5288461538461539
20,Depression,6,"I've been taking Setraline for about two weeks for Social anxiety and depression. . I used to take Paroxetine for 3 years and had to switch to Sertraline. Since I'm taking Sertraline I've noticed that I am grumpy and have a very short temper. Any little thing can blow my lid and I honestly hate myself at the moment. I'm so easily irritated that it really annoys me. Yes, I'm getting mad at myself for getting mad at anything. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. It doesn't help much with my depression or social anxiety at the moment. I'll give it a month and maybe increase the dosage.",I've been taking Setraline for about two weeks for Social anxiety and depression. I experience no sexual side effects which is good because Paroxetine kind of muted me down there. I'll give it a month and maybe increase the dosage.,0.8039185790003103,0.33613445378151263,I used to take Paroxetine for 3 years and had to switch to Sertraline. since I'm taking Setraline I've noticed that I am grumpy and have a very short temper.,4.0440121360002195,0.25210084033613445,"I have been taking this medication for about 2 weeks now. I've been using it for about a month now and I've had no negative side effects. I feel like I'm on the right track. I don't know if I'll be able to get back on the medication any time soon, but I",0.8016036419999182,0.44537815126050423
21,Depression,3,The doctor tried this to help with depression and bipolar disorder. It caused more anxiety and didn't work well at all. Only stayed on it 2 weeks and couldn't take it anymore.,The doctor tried this to help with depression and bipolar disorder. It caused more anxiety and didn't work well at all. Only stayed on it 2 weeks and couldn't take it anymore.,0.562677979,1.0,the doctor tried this to help with depression and bipolar disorder. it caused more anxiety and didn't work well at all.,0.3979360620000989,0.65625,"The patient was diagnosed with bipolar disorder and was treated with antipsychotic medication. The antipsychotics were not effective in the treatment of this patient. The patient was treated for a few weeks and was able to take the medication. However, the medication was not effective for the patient and he was not able to",0.7728810230000818,1.6875
22,Depression,1,"I was on Prozac for somewhere around a year, and my dr prescribed me bupropion to go along with the Prozac. This absolutely ruined my life. I was doing good before it. Not perfect but satisfactory. When I started taking bupropion it gave me adrenaline rushes which led to panic attacks. Even after being off of the medicine around a year I still have panic attacks and have gone through so many Medicines trying to fix the problem. And I've been reading the experiences of others and unfortunately some people never get over the effects. Please don't take this medicine. It's not worth it. Maybe it helps people. But for others like me, it is prescribed flippantly and has awful effects.","I was on Prozac for somewhere around a year, and my dr prescribed me bupropion to go along with the Prozac. This absolutely ruined my life. I was doing good before it. Maybe it helps people. But for others like me, it is prescribed flippantly and has awful effects",0.9122374410003431,0.4049586776859504,"my dr prescribed me bupropion to go along with the Prozac. it gave me adrenaline rushes which led to panic attacks. but for others, it is prescribed flippantly and has awful effects.",0.7191559930001858,0.2644628099173554,"Prozac is a powerful anti-depressant. It has been shown to be effective in reducing anxiety, depression, and anxiety-related symptoms. However, it has been found to have side-effects that are not well understood. The main side effects of Prozac are anxiety, panic attacks, insomnia,",0.8611463199999889,0.35537190082644626
23,Depression,1,"This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly. (Look that one up, and enjoy)","This medicine has done nothing for my anxiety and depression, but it has made me impotent, fat, lethargic, and I am suffering from angioedema regularly.",0.6844108559998858,0.8064516129032258,"this medicine has made me impotent, fat, lethargic, and I am suffering from angioedema.",0.577403723000316,0.45161290322580644,"This is a very good medicine, but I am not sure if it will work for me or not.

I have been using this medicine for over a year now, and it has been very effective. I am very happy with the results. I would recommend this medicine to anyone who is suffering from anxiety",0.7779391770000075,1.7741935483870968
24,Anxiety,10,"I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26. To those worried about becoming addicted or physically dependent on this medicine, I wouldn't worry about it too much as I been on it for 3 yrs now and I haven't had to had to up my dose at all and have been on steady 4mg daily. There were a few times where my doctor went on vacation & it was my fault for not getting my script early. My Anxiety was bad for 3-4 days BUT I felt NO WITHDRAWALS or SICKNESS at all from lack of the clonazepam.","I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1mg at bedtime to help Insomnia. It REALLY helps with the anxiety part with me losing both parents & dealing with my own rheumatoid arthritis at age 26",1.195514541999728,0.34306569343065696,"I have been on Clonezepam for 2 different reasons. 1 for Anxiety 1mg pill 3xs a day, and then 1 mg at bedtime to help Insomnia.",0.6338235929997609,0.1897810218978102,I was on a 2-week trial of Clonezapam for the first time in my life. I had been taking it for about 2 weeks and I had no symptoms at all. I went to the doctor and told him that I was going to take it for 2 weeks. He told me that I,0.8023359950002487,0.39416058394160586
25,Anxiety,8,"I got put on Buspirone to treat my Social Anxiety Disorder which included several panic attacks in embarrassing social situations and must say that it has generally helped out with my problem. I am on 10mgs three times a day, and despite the side effects which include dizziness and intense light-hededness, I must say the only problem I have with this medicine is the potential to over use it. I find myself needing to take more than I'm supposed to daily, perhaps need to talk to my doctor about a dosage increase. Overall though very helpful.","I am on 10mgs three times a day, and despite the side effects which include dizziness and intense light-hededness, I must say the only problem I have with this medicine is the potential to over use it. I find myself needing to take more than I'm supposed to daily,",1.2478244220001216,0.5104166666666666,the only problem I have with this medicine is the potential to over use it. I am on 10mgs three times a day and need to take more than I'm supposed to daily.,0.6786158519998935,0.34375,"This is a very good medicine. I have been taking it for about a year now and I am very happy with the results. The side effects are very mild, but the side-effects are very serious. I would recommend this medicine to anyone who is concerned about their health.",0.7992534810000507,0.5104166666666666
26,Depression,10,"I take 10 mg/day. Before I started taking this I felt as though I had severe PMS everyday. I suffer from moderate to severe depression, anxiety, mood swings, anger problems, and OCD. My therapist has diagnosed me with PTSD. Anyway, the first week of taking this I had a lot of side-effects. I took it in the evening, and had insomnia. Waking up a lot at night. Initially, the first week, I also had decreased appetite and chest pain that would come and go. After the first week I began taking it in the morning. The insomnia and all other symptoms subsided, but then I became extremely tired during the day. I'm now taking it in the evening again. Helps A LOT. No more depression or irritability. Only problem now is increased appetite.",I take 10 mg/day. Helps A LOT. No more depression or irritability. Only problem now is increased appetite.,0.5500221339998461,0.13533834586466165,my therapist has diagnosed me with PTSD. the first week of taking this I had a lot of side-effects.,0.4274400110002716,0.14285714285714285,I was diagnosed with PMS at the beginning of the year. I had been taking this for a year and a half. I felt like I was having a bad day. The first thing I noticed was that I was getting more and more tired. The second thing was that my stomach felt like it was getting,0.785979641999802,0.42857142857142855
27,Anxiety,1,I was given 5 mg to take the night before a dental visit as I have severe anxiety and 5 mg to take an hour before the appt. I took the 5 mg of Valium in place of my Xanax and within 4 hours was throwing up and having the worst panic attacks. Had to call my doctor for Phenergan to stop the vomiting.,I took the 5 mg of Valium in place of my Xanax and within 4 hours was throwing up and having the worst panic attacks. Had to call my doctor for Phenergan to stop the vomiting.,0.7191930070002854,0.5625,5 mg to take the night before a dental visit as I have severe anxiety. had to call my doctor for Phenergan to stop the vomiting.,0.5791385640000044,0.40625,I have been taking Xanax for over a year now and I have never had any adverse events. I have been using it for over 2 years now and have never experienced any side effects. I am very happy with the quality of the Xanax I have received. I would recommend it to anyone looking for a,0.7900409459998627,0.890625
28,Anxiety,8,"All my life I've suffered from depression. Within the last year, severe anxiety came out of nowhere and I'd have about 2 or three bad attacks per month, on top of the multiple small attacks I'd get daily. ESPECIALLY in social settings. But even alone. I completely withdrew myself from my classes and my social life because of this. I started going to church. Meditating, running, praying, dieting, yoga, and trying to practice mindfulness.The failed attempts worsened my depression. I wanted the anxiety to stop so bad that I frequently considered suicide. Its been less than a day taking Lexapro but I'm so hopeful. Everything that felt like such a huge deal just hours ago are so minimal now.","All my life I've suffered from depression. Within the last year, severe anxiety came out of nowhere. I wanted the anxiety to stop so bad that I frequently considered suicide. Its been less than a day taking Lexapro but I'm so hopeful.",0.8087968320000982,0.35294117647058826,"all my life I've suffered from depression. within the last year, severe anxiety came out of nowhere. I had about 2 or three bad attacks per month.",0.5220053329999246,0.226890756302521,"I've been diagnosed with depression for over a year now. I've been in therapy for about a year and a half now, and I've had a lot of positive experiences. I'm not sure if I'll ever be able to go back to my normal life again, but I feel like I've finally",0.9470838399997774,0.4369747899159664
29,Anxiety,3,I've been taking Vistaril 25 mg for 3 weeks and it has not helped me what so ever. At first I felt a little less nervous but when I had to go to an assembly it kicked right back up! Now I'm getting ready to get on Lexapro. Hopefully this drug works for me.,I've been taking Vistaril 25 mg for 3 weeks and it has not helped me what so ever. Now I'm getting ready to get on Lexapro. Hopefully this drug works for me.,0.6557310260000122,0.5925925925925926,I've been taking Vistaril 25 mg for 3 weeks. it has not helped me what so ever.,0.4260252849999233,0.3148148148148148,Vistaril is an anti-inflammatory drug. It has been shown to be effective in treating a wide range of adverse events. It is also known to reduce the risk of heart attack and stroke. It does not cause any side effects and is safe for use in people with a history of heart disease.,1.0243429980000656,0.9814814814814815
30,Depression,9,Since I lost my father in 2001 I have felt so depressed and had no will to live and my mother did not believe in medication so I went through my life in the fog of depression and anxiety. I was not able to focus so I barely got by with my grades in school. I was starting to fail out and everything got to be too much so I went to counseling and they suggested that I see a psychiatrist and I did and it was the best decision of my life. I got prescribed Bupropion SR and Gabapentin. Bupropion helped me tremendously. I was energetic and motivated and I took Gabapentin at night to sleep. Everyone that told me that antidepressants just mask your depression are full of crap!,Since I lost my father in 2001 I have felt so depressed and had no will to live. My mother did not believe in medication so I went through my life in the fog of depression and anxiety. Bupropion helped me tremendously. I was energetic and motivated and I took Gabapentin at night,0.9146782490001897,0.40458015267175573,since losing my father in 2001 I have felt so depressed and had no will to live. my mother did not believe in medication so I went through my life in the fog of depression and anxiety.,0.8040569479999249,0.2824427480916031,I was diagnosed with bipolar disorder in 2001. I had been diagnosed with depression for a long time and I had never experienced any of the symptoms of bipolar disorder. I felt like I was in the middle of something and I didn't know what to do with myself. I started to feel like I had a problem,1.1100725230003263,0.44274809160305345
31,Anxiety,1,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. I took it for hyper thyroid. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. PLEASE Google Professor Ashton to read the side effects. Visit Benzo Buddies. You will learn about the horrors these meds cause as well as success stories of those who survived this! There has been a bill introduced in Massachusetts to get doctors to warn their patients!! Warn everyone you know! Don't be fooled! My world has been turned upside down and I don't want it to happen to you!!,BEWARE!! Some people have no problem with this benzodiazepine yet there are many who do such as myself. It has ruined the last 14 months of my life!!! Words cannot express the mental and physical torture I experience daily. Please Google Professor Ashton to read the side effects. Visit Benzo,0.9349279640000532,0.43859649122807015,benzodiazepine has ruined the last 14 months of my life. there has been a bill introduced in Massachusetts to get doctors to warn their patients.,0.5750235609998526,0.21929824561403508,"I have been taking this medication for over a year now. I have never experienced anything like this before. I am very happy with the results. I will continue to take this medication as long as I can. I do not know how long it will last, but I am sure it will be worth it.",0.8537948889998006,0.49122807017543857
32,Depression,10,"I was put on Lexapro for depression. I also had a bad case of obsessive compulsive disorder and a little anxiety. Lexapro did wonders for me. I am rarely sad anymore. My OCD is almost gone. I feel a lot better about myself. I used to be very shy and insecure because of my anxiety. But now, I'm more confident and able to talk to people without feeling so anxious and scared.",I was put on Lexapro for depression. I also had a bad case of obsessive compulsive disorder. I am rarely sad anymore. My OCD is almost gone. I feel a lot better about myself.,0.615339904999928,0.4722222222222222,i was put on Lexapro for depression. i had a bad case of obsessive compulsive disorder and a little anxiety.,0.5562564080000811,0.2777777777777778,"I have been diagnosed with a rare form of obsessive-compulsive disorder (OCD). This is a condition that is characterized by a lack of self-control, impulsivity, and an inability to think clearly. It is a disorder that can lead to depression, anxiety, and other mental health problems.",0.8177257010001995,0.6388888888888888
